2022-05-16 15:05:367 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:793 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:136 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:468 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:766 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:333 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:576 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:279 INFO  HomePage :36 - click on 'LOGIN' link :[[ChromeDriver: chrome on WINDOWS (d4414d40d3944962216265281d6eb469)] -> link text: Log in]
2022-05-16 15:05:746 INFO  LoginPage :57 - get the 'WELCOME' text :[[ChromeDriver: chrome on WINDOWS (d4414d40d3944962216265281d6eb469)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-16 15:05:458 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:91 INFO  HomePage :36 - click on 'LOGIN' link :[[ChromeDriver: chrome on WINDOWS (e39ac0a649a26c469f4e282a0dcc1710)] -> link text: Log in]
2022-05-16 15:05:586 INFO  LoginPage :37 - enter the 'EMAIL ADDRESS' :abcd123@gmail.comto email address field
2022-05-16 15:05:651 INFO  LoginPage :42 - enter the 'PASSWORD' :xyz123to password field
2022-05-16 15:05:725 INFO  LoginPage :47 - click on 'LOGIN' button :[[ChromeDriver: chrome on WINDOWS (e39ac0a649a26c469f4e282a0dcc1710)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 15:05:174 INFO  LoginPage :52 - get the 'ERROR MESSAGE' text :[[ChromeDriver: chrome on WINDOWS (e39ac0a649a26c469f4e282a0dcc1710)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 15:05:889 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:611 INFO  HomePage :36 - click on 'LOGIN' link :[[ChromeDriver: chrome on WINDOWS (51a20faac10ffd49a538ceb3c004a094)] -> link text: Log in]
2022-05-16 15:05:88 INFO  LoginPage :37 - enter the 'EMAIL ADDRESS' :xyz123@gmail.comto email address field
2022-05-16 15:05:150 INFO  LoginPage :42 - enter the 'PASSWORD' :abc123to password field
2022-05-16 15:05:220 INFO  LoginPage :47 - click on 'LOGIN' button :[[ChromeDriver: chrome on WINDOWS (51a20faac10ffd49a538ceb3c004a094)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 15:05:622 INFO  LoginPage :52 - get the 'ERROR MESSAGE' text :[[ChromeDriver: chrome on WINDOWS (51a20faac10ffd49a538ceb3c004a094)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 15:05:302 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-16 15:05:990 INFO  HomePage :36 - click on 'LOGIN' link :[[ChromeDriver: chrome on WINDOWS (34a3391573ce7136af96cacc676d9835)] -> link text: Log in]
2022-05-16 15:05:532 INFO  LoginPage :37 - enter the 'EMAIL ADDRESS' :adfafasd@gmail.comto email address field
